NO,NAME,YEAR,ZONE,LETTER,TYPE_SUM,WRITER,NAME2,STATUS,UPDATE_TIME,NEW_PAGE,DOCUMENT,PICTURE,URL,NUM
19,美雪美雪,1980年,,M,,,,,2015-09-19,第12卷,讲述若松和美雪的爱情故事。若松和美雪是两个没有血缘关系的兄妹，若松把对美雪的爱一直藏在心里，公开承认喜欢同班同学鹿岛美雪，就在妹妹美雪和童年的朋友优一准备结婚的时候，若松终于向妹妹美雪说出“美雪，我喜欢你，我离不开你”。这对没有血缘关系的兄妹一下子变成了夫妇，真是皆大欢喜。,https://cf.hamreus.com/cpic/h/2320.jpg,http://www.manhuagui.com/comic/2320/,2320
20,夕阳升起,1995年,,X,,,,,2015-09-19,第02卷,在夕阳灿烂的海边，夕子邂逅了桂木剑一，温文有礼的他，使夕子异常心动。难道，在夕阳中出现的剑一，真的是夕子等待已久、蒙昧以求的情人吗？,https://cf.hamreus.com/cpic/h/18136.jpg,http://www.manhuagui.com/comic/18136/,18136
21,阳光普照,1995年,,Y,,,,,2015-09-19,第05卷,考上明条高中的霞，为了方便上学而寄宿在阿姨家。孰料阿姨还把其它空房间租给与同校的四个男生!原本对男友克彦一心一意的霞，不知不觉间对其中吊儿郎当的高勇作起了好感。,https://cf.hamreus.com/cpic/h/4313.jpg,http://www.manhuagui.com/comic/4313/,4313
22,CROSS GAME,2006年,,C,,,,,2015-09-19,第17卷,非常靠得住的长女一叶，开朗率直的次女若叶，不爱理人的三女青叶，以及精神饱满的四女红叶，在月岛家这四个童年玩伴的陪伴下，树多村光热闹滚滚的青春故事就此展开。,https://cf.hamreus.com/cpic/h/3936.jpg,http://www.manhuagui.com/comic/3936/,3936
23,Nine最后的冠军,1995年,,N,,,,,2015-09-18,第03卷,虽然同样是打棒球，不过每个人的动机与目的不尽相同！我的目标并非只有前进甲子园！毅然决然加入棒球社，就是为了想要认识那个女孩，希望能看见她露出灿烂的笑容！青春、恋爱与棒球，我正在创造一个属於自己的故事!!,https://cf.hamreus.com/cpic/h/2444.jpg,http://www.manhuagui.com/comic/2444/,2444
24,ROUGH物语,2006年,,R,,,,,2015-09-18,第12卷,ROUGH，意指粗枝大叶的，无礼的，未完成的，简言之，那就是青春！因此私立荣泉高中一年级新生?大和圭介，他的青春目标就是成为日本第一的游泳选手！而圭介和同属游泳社的二之宫亚美的关系，目前仍是ROUGH！,https://cf.hamreus.com/cpic/h/3534.jpg,http://www.manhuagui.com/comic/3534/,3534
25,SLOW STEP漫步青春路,1995年,,S,,,,,2015-09-18,第07卷,中里美夏是垒球队的一年级学生。她被三个男孩子追求着，正处于爱情的十字路口……！？安达充的青春喜剧第一集！！,https://cf.hamreus.com/cpic/h/7966.jpg,http://www.manhuagui.com/comic/7966/,7966
26,SHORT PROGRAM,2008年,,S,,,,,2015-09-18,第03卷,描写高中生的爱情与热血，故事不离男女的交往及体育竞赛，故事虽然平凡，但却很生活化，很容易让读者产生投射心理，当然这也意味着更容易受到感动……因此你可以发现，当中多以“类第一人称”来描述故事，这样一来读者就很容易融入故事的发展,https://cf.hamreus.com/cpic/h/13089.jpg,http://www.manhuagui.com/comic/13089/,13089
27,Q&A,2009年,,Q,,,,,2015-09-18,第06卷,哥哥的名字叫庵堂久，通常被叫做小Q，六年前因为事故去世。六年后，庵堂家的兄弟两人久和厚（Q&A），出人意料的再会让兄弟两人的故事翻开新的篇章，以描写青春棒球剧为最特意的领域，诞生过无数经典作品的着名漫画家安达充的又一部作品《Q&A》于2009年5月12日在日本《月刊少年Sunday》上展开新连载。,https://cf.hamreus.com/cpic/h/4783.jpg,http://www.manhuagui.com/comic/4783/,4783
28,超能力美空,2004年,,C,,,,,2015-09-18,第05卷,&nbsp;&nbsp;&nbsp;《美眉美空》（又叫超能力美空）创作在《H2》结束以后，可以说是安达充老师在结束长篇连载之后的一个小小的消遣，故事说的是日本第一位拿到奥斯卡最佳女演员奖的女生的奋斗故事。总之，美空和她的朋友们在某次意外中得到了老神仙给的超能力，而这种超能力在他们十三岁的时候显露了，美空可以使物体自由移…,https://cf.hamreus.com/cpic/h/7946.jpg,http://www.manhuagui.com/comic/7946/,7946
29,安达充漫画札记,2013年,,A,,,,,2012-07-31,第002回,暂无漫画简介,https://cf.hamreus.com/cpic/h/5801.jpg,http://www.manhuagui.com/comic/5801/,5801
30,偶像A,2007年,,O,,,,,2012-07-01,第06回new,全民的超级偶像-里美梓，不可告人的&ldquo;秘密&rdquo;是&hellip;&hellip;这部作品是在以前的第25号上进行的企划&ldquo;安达充监修:YS的美少女竞赛&rdquo;中，被选出的获得最优秀奖的里美梓作为女主角而创作的短篇作…,https://cf.hamreus.com/cpic/h/2480.jpg,http://www.manhuagui.com/comic/2480/,2480
31,MySweetSunday安达充高桥留美子合作纪念短篇,2010年,,M,,,,,2012-07-01,全一话,为庆祝「少年 Sunday」的 50 周年，以《福星小子》、《乱马 1/2》、《犬夜叉》等作品知名的漫画家高桥留美子，以及以《TOUCH邻家美眉》、《美雪．美雪》、《CrossGame四叶游戏》等运动类漫画作品知名的安达充，将共同创作一部 30 页的作品。,https://cf.hamreus.com/cpic/h/2271_71.jpg,http://www.manhuagui.com/comic/2271/,2271
32,鬼灭之刃,2016年,,G,,,,,2019-04-28,第156话 谢谢,充满了鬼才的，血雨剑戟冒险谭，正式开幕。,https://cf.hamreus.com/cpic/h/19430.jpg,http://www.manhuagui.com/comic/19430/,19430
33,异世界迷宫探索者,2017年,,Y,,,,,2019-05-19,第24话,在生还率为零的地狱迷宫中闯荡！！,https://cf.hamreus.com/cpic/h/23083.jpg,http://www.manhuagui.com/comic/23083/,23083
34,OVERLORD,2014年,,O,,,,,2019-05-03,第46话,一款席卷游戏界的网路游戏「YGGDRASIL」，有一天突然毫无预警地停止一切服务——原本应该是如此。但是不知为何它却成了一款即使过了结束时间，玩家角色依然不会登出的游戏。NPC开始拥有自己的思想。,https://cf.hamreus.com/cpic/h/15761_31.jpg,http://www.manhuagui.com/comic/15761/,15761
35,世界上唯一的魔物使~转职后被误认为了魔王~,2019年,,S,,,,,2019-05-19,第03话,不想当勇者的我转职变成魔物使开始了“平静”的生活,https://cf.hamreus.com/cpic/h/31828.jpg,http://www.manhuagui.com/comic/31828/,31828
36,我的英雄学院,2014年,,W,,,,,2019-05-20,第228话,大部分的人类，在这个时代里都拥有名为“个性”的力量，但有力量之人却不一定都属于正义的一方。只要邪恶出现的地方，必定会有英雄挺身而出拯救众人。一名天生没有力量的少年——绿谷出久从小就憧憬一位顶尖英雄，而他的梦想就是成为伟大的英雄，可是，没有力量的他能实现自己的梦想吗？,https://cf.hamreus.com/cpic/h/13885.jpg,http://www.manhuagui.com/comic/13885/,13885
